ts_rounded,bytes,throughput_mbps,experimento
1617175892,1463,0.011704,2021-03-31T15-29-24
1617175893,2116,0.016928,2021-03-31T15-29-24
1617175894,957,0.007656,2021-03-31T15-29-24
1617175895,454,0.003632,2021-03-31T15-29-24
1617175896,944,0.007552,2021-03-31T15-29-24
1617175897,959,0.007672,2021-03-31T15-29-24
1617175898,336,0.002688,2021-03-31T15-29-24
1617175899,348,0.002784,2021-03-31T15-29-24
1617175900,1463,0.011704,2021-03-31T15-29-24
1617175902,448,0.003584,2021-03-31T15-29-24
1617175905,1351,0.010808,2021-03-31T15-29-24
1617175906,2120,0.01696,2021-03-31T15-29-24
1617175907,9014,0.072112,2021-03-31T15-29-24
1617175908,33602,0.268816,2021-03-31T15-29-24
1617175909,57258,0.458064,2021-03-31T15-29-24
1617175910,99871,0.798968,2021-03-31T15-29-24
1617175911,21278,0.170224,2021-03-31T15-29-24
1617175912,4648,0.037184,2021-03-31T15-29-24
1617175913,4435,0.03548,2021-03-31T15-29-24
1617175914,1932,0.015456,2021-03-31T15-29-24
1617175923,454,0.003632,2021-03-31T15-29-24
1617175924,1416,0.011328,2021-03-31T15-29-24
1617175925,3092,0.024736,2021-03-31T15-29-24
1617175926,3104,0.024832,2021-03-31T15-29-24
1617175927,906,0.007248,2021-03-31T15-29-24
1617175928,224,0.001792,2021-03-31T15-29-24
1617175929,10307,0.082456,2021-03-31T15-29-24
1617175930,47330,0.37864,2021-03-31T15-29-24
1617175931,57149,0.457192,2021-03-31T15-29-24
1617175932,46278,0.370224,2021-03-31T15-29-24
1617175933,27018,0.216144,2021-03-31T15-29-24
1617175934,5296,0.042368,2021-03-31T15-29-24
1617175936,1418,0.011344,2021-03-31T15-29-24
1617175937,208,0.001664,2021-03-31T15-29-24
1617175941,19326,0.154608,2021-03-31T15-29-24
1617175942,342,0.002736,2021-03-31T15-29-24
1617175943,1554,0.012432,2021-03-31T15-29-24
1617175944,112,0.000896,2021-03-31T15-29-24
1617175946,448,0.003584,2021-03-31T15-29-24
1617175947,448,0.003584,2021-03-31T15-29-24
1617175948,448,0.003584,2021-03-31T15-29-24
1617175949,13670,0.10936,2021-03-31T15-29-24
1617175950,15981,0.127848,2021-03-31T15-29-24
1617175951,41317,0.330536,2021-03-31T15-29-24
1617175952,36783,0.294264,2021-03-31T15-29-24
1617175953,20906,0.167248,2021-03-31T15-29-24
1617175954,27430,0.21944,2021-03-31T15-29-24
1617175955,47034,0.376272,2021-03-31T15-29-24
1617175956,62540,0.50032,2021-03-31T15-29-24
1617175957,76937,0.615496,2021-03-31T15-29-24
