ts_rounded,bytes,throughput_mbps,experimento
1617166088,593,0.004744,2021-03-31T12-48-05
1617166089,115519,0.924152,2021-03-31T12-48-05
1617166090,219716,1.757728,2021-03-31T12-48-05
1617166091,109904,0.879232,2021-03-31T12-48-05
1617166092,17072,0.136576,2021-03-31T12-48-05
1617166093,22972,0.183776,2021-03-31T12-48-05
1617166094,17472,0.139776,2021-03-31T12-48-05
1617166095,19060,0.15248,2021-03-31T12-48-05
1617166096,26240,0.20992,2021-03-31T12-48-05
1617166097,14640,0.11712,2021-03-31T12-48-05
1617166098,17568,0.140544,2021-03-31T12-48-05
1617166099,18476,0.147808,2021-03-31T12-48-05
1617166100,13424,0.107392,2021-03-31T12-48-05
1617166101,32152,0.257216,2021-03-31T12-48-05
1617166102,20064,0.160512,2021-03-31T12-48-05
1617166103,23696,0.189568,2021-03-31T12-48-05
1617166104,36888,0.295104,2021-03-31T12-48-05
1617166105,23520,0.18816,2021-03-31T12-48-05
1617166106,13248,0.105984,2021-03-31T12-48-05
1617166120,117284,0.938272,2021-03-31T12-48-05
1617166121,321388,2.571104,2021-03-31T12-48-05
1617166122,335940,2.68752,2021-03-31T12-48-05
1617166123,351588,2.812704,2021-03-31T12-48-05
1617166124,368804,2.950432,2021-03-31T12-48-05
1617166125,364056,2.912448,2021-03-31T12-48-05
1617166126,336776,2.694208,2021-03-31T12-48-05
1617166127,304172,2.433376,2021-03-31T12-48-05
1617166128,352888,2.823104,2021-03-31T12-48-05
1617166129,283584,2.268672,2021-03-31T12-48-05
1617166130,307452,2.459616,2021-03-31T12-48-05
1617166131,254368,2.034944,2021-03-31T12-48-05
1617166132,225468,1.803744,2021-03-31T12-48-05
1617166133,319912,2.559296,2021-03-31T12-48-05
1617166134,352320,2.81856,2021-03-31T12-48-05
1617166135,238720,1.90976,2021-03-31T12-48-05
1617166136,353604,2.828832,2021-03-31T12-48-05
1617166137,346528,2.772224,2021-03-31T12-48-05
1617166138,329180,2.63344,2021-03-31T12-48-05
1617166139,299076,2.392608,2021-03-31T12-48-05
